id,English,LabelTask1
1644,"#RealMenFuck - Penis By The Pound With August and Jesse all, RealMenFuckJesse is hungry for dick and he won't take no for an answer. Once he gets into August's bulging pants, all bets are off. After Jesse goes down on the massive cock in his face, he b… https://t.co/65rRxV7I0P",1
613,"@emrazz If they ride a Merry-Go-Round at the County Fair wearing those shirts, does that mean they're a Cock Carousel?",1
5272,"Must be my colony- Joking while automatically grasping that ass with remarkable strength, sinking its digits into its flesh as it pulled and moved its hands, opening and closing its buttocks in its path- https://t.co/zP0sYx3BKX",1
6913,The best way to comfort a Uke after a rape = sleep with him,1
6196,"@La GacetaTucuman Now the Women of Women's Football have fought so hard to have their place in Sport, will they have to compete with ""biological men.""Once again the Feminism against Women?Feminism promotes Machism to which it claims to fight?#ProGeneroNoesProMujer",1
2240,Why are there so many grown men on this bird app that think rape jokes are funny  they’d have a stroke if someone said that type of shit to their girlfriend/sister/mum but you shouldn’t have to have a woman that you value in your life for you to appreciate it’s not acceptable,1
6938,"To this the lefts say ""Progress"".Empowerment of LGTBI, Feminists and Pro Abortion.They only follow the agenda of the Latin American left. https://t.co/fNZvh52cgb",1
6708,"Crunch and sexual harassment, big Naughty Dog https://t.co/Kc3UWfgwZN",1
3335,@juh_singh Hello....m raj....m with good size and excellent stamina ....A passionate pussy licker...Love to lick every holes were womens desire to b licked...DoggyMissionaryWomen on topMy best pose to spank over bed,1
2499,@EjikemPace Like!! Funny how every bio I see with feminist most likely has “witch” attached to it. Stay angry at men and own it but don’t guise under feminism to do it.,1
4978,"AND WITHOUT READING THE BLACK BOOKS, KENTISTS SUPREMACY THE POWER WE MADE AND CRIS WITHOUT KNOWING THAT WARNER CALLED AARON ALSO DID PUNTOS AJAJAJAJAJAAJ https://t.co/Z4maNazgP5",1
5323,"There are studies on the lack of equity in the professional development of women, often attributing it to access to education or maternity, but do not contemplate the damage to reputation that seems harmless, but that do more harm than quantified",1
3631,"In the 2015 gubernatorial contest, Armando Chavarría Barrera was (physically) murdered.In this contest, they intend to kill (civilally) Félix Salgado Macedonio.The strategic weapon is the accusation of rape and the staging of that PRIanist ""feminism"".",1
