trial_id,loss,accuracy,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.epochs,config.epsilon,config.learning_rate,config.batch_size,config.betas
c083b_00000,0.04296997854532289,81.70062695924766,34.45086455345154,True,True,,,4,18bd26772f624be5b7ff0a8c91e29216,2022-08-23_11-58-13,1661248693,148.15535926818848,13462,administrador,10.68.58.17,148.15535926818848,0,4,0.001733541488647461,"0_batch_size=64,betas=0_9_0_999,epochs=4,epsilon=0.0000,learning_rate=0.0001",4,1e-06,5e-05,64,"(0.9, 0.999)"
c083b_00001,0.04633508905891545,82.68025078369907,35.623631715774536,True,True,,,5,aed41a14c6074bdcacff59677ee2b6f1,2022-08-23_11-58-52,1661248732,185.98874855041504,13493,administrador,10.68.58.17,185.98874855041504,0,5,0.002005338668823242,"1_batch_size=64,betas=0_9_0_98,epochs=5,epsilon=0.0000,learning_rate=0.0001",5,1e-08,5e-05,64,"(0.9, 0.98)"
c083b_00002,0.03859373409886006,82.0826802507837,34.8755669593811,True,True,,,4,70c58be4494947bc8bd211d922f8934b,2022-08-23_12-00-43,1661248843,148.8749499320984,13576,administrador,10.68.58.17,148.8749499320984,0,4,0.001676797866821289,"2_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,3e-05,64,"(0.9, 0.98)"
c083b_00003,0.019302426290906165,81.9055944055944,42.153640270233154,True,True,,,2,a4dffe70b2734fec9c88f3b39975255c,2022-08-23_12-00-28,1661248828,93.22665238380432,13623,administrador,10.68.58.17,93.22665238380432,0,2,0.001771688461303711,"3_batch_size=32,betas=0_9_0_999,epochs=2,epsilon=0.0000,learning_rate=0.0000",2,1e-06,3e-05,32,"(0.9, 0.999)"
c083b_00004,0.028164137739780524,64.2263986013986,42.88867139816284,True,True,,,3,90b7aaf0c85946f1944173a734a76bab,2022-08-23_12-02-49,1661248969,139.1334981918335,13689,administrador,10.68.58.17,139.1334981918335,0,3,0.0017082691192626953,"4_batch_size=32,betas=0_9_0_98,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,4e-05,32,"(0.9, 0.98)"
c083b_00005,0.010375237488765116,80.88068181818181,49.83530068397522,True,True,,,3,f6626d48942c411c9f20a5cc4ffc0591,2022-08-23_12-03-24,1661249004,158.86173033714294,13751,administrador,10.68.58.17,158.86173033714294,0,3,0.0018322467803955078,"5_batch_size=16,betas=0_9_0_999,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-06,4e-05,16,"(0.9, 0.999)"
c083b_00006,0.014953165147684454,78.7784090909091,52.381224155426025,True,True,,,5,5fdf266dd8954e698ae67f00f5e83856,2022-08-23_12-07-20,1661249240,269.1937687397003,13847,administrador,10.68.58.17,269.1937687397003,0,5,0.0016579627990722656,"6_batch_size=16,betas=0_9_0_999,epochs=5,epsilon=0.0000,learning_rate=0.0001",5,1e-06,5e-05,16,"(0.9, 0.999)"
c083b_00007,0.03881577913426171,81.48510971786834,35.29257297515869,True,True,,,4,b4d5375b877545718fb0e79c3734ae1b,2022-08-23_12-05-58,1661249158,151.15801858901978,14074,administrador,10.68.58.17,151.15801858901978,0,4,0.001735687255859375,"7_batch_size=64,betas=0_9_0_98,epochs=4,epsilon=0.0000,learning_rate=0.0000",4,1e-08,2e-05,64,"(0.9, 0.98)"
c083b_00008,0.03746595338356396,82.06798589341692,36.54317808151245,True,True,,,3,5e42e53787de4f1a9dd6e016ef928d32,2022-08-23_12-07-57,1661249277,117.30329751968384,14880,administrador,10.68.58.17,117.30329751968384,0,3,0.0018703937530517578,"8_batch_size=64,betas=0_9_0_98,epochs=3,epsilon=0.0000,learning_rate=0.0000",3,1e-08,3e-05,64,"(0.9, 0.98)"
c083b_00009,0.012432694078176782,83.57954545454545,51.51293063163757,True,True,,,5,7a2617174b7c4d159b6d4497ea47726e,2022-08-23_12-11-55,1661249515,273.5339283943176,15074,administrador,10.68.58.17,273.5339283943176,0,5,0.0017709732055664062,"9_batch_size=16,betas=0_9_0_999,epochs=5,epsilon=0.0000,learning_rate=0.0000",5,1e-08,3e-05,16,"(0.9, 0.999)"
